	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+,+,-;labiodental:-;coronal:-,-,+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:-	labial:+,-;labiodental:-;coronal:-,+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-,-,+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-;labiodental:0;coronal:+,-;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-,+;front:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	pf	-	ps		t	ts			k	t̠ʃ	7/10	0.984128765630669
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	-	-	-	-	ɗ	-	-	-		ʄ	3/4	0.9198284099217681
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b̤	b̤v̤	-	b̤z̤	d̤ɮ̤	d̤	d̤z̤	-	-	ɡ̤	d̤ʒ̤	8/8	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		f	-	-	ɬ		s	sʷ	-		ʃ	5/8	0.7769051275073666
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate	pʰ	pfʰ	-	psʰ		tʰ	tsʰ		-	kʰ	t̠ʃʰ	7/9	0.9894392991519602
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	m̤b̤	-	-	-	n̤d̤ɮ̤	n̤d̤		-	n̤ɡ̤			4/7	0.6363636363636369
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative			-	-			nz		-			1/8	0.24494262184429047
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	mbv	mbz			nd			nɡ			5/11	0.5179522839212081
	6/8	5/6	1/1	3/4	3/7	6/8	5/7	1/5	2/3	3/8	5/8
	0.91619939191065	0.762467969287724	1.0	0.5801992317757797	0.5781027464675886	0.9388671849591775	0.935229150561957	0.2862211137867643	0.00215362230123272	0.614567427530254	0.7463356692063383
