	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p		t	ts	t̠ʃ	ʈʂ	c	k	q	8/9	0.990096559549246
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	-	sʰ					-	1/6	0.8610292589991081
periodicGlottalSource:+;spreadGlottis:-;category:fricative	v				ʒ					2/9	0.40264137070823686
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mp	-	nt	nts	n̠t̠ʃ	ɳʈʂ	ɲc	ŋk	ɴq	8/8	1.0
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mpʰ	-	ntʰ	ntsʰ	n̠t̠ʃʰ	ɳʈʂʰ	ɲcʰ	ŋkʰ	ɴqʰ	8/8	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate|plosive	pʰ		tʰ	tsʰ	t̠ʃʰ	ʈʂʰ	cʰ	kʰ	qʰ	8/9	0.9921536595347372
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ		s	ʃ		ç			5/9	0.721305397849299
	6/7	1/4	4/6	6/7	6/7	4/7	5/7	4/7	4/6
	0.9997832885235424	0.5933439759712221	0.9191630357370756	0.8615046830669069	0.9998752701466076	0.4401956865977847	0.9346945238989884	0.822185537761234	0.6031742104260096
