	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+		z				1/5	0.34236602909933606
periodicGlottalSource:-	ɸ	s	ʃ	x	xʷ	5/5	1.0
	1/2	2/2	1/2	1/2	1/2
	0.6601145927862688	1.0	0.7783204924998441	0.7044347480298516	0.8258323940163383
