	labial:+;coronal:-;strident:0;dorsal:- | labial:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;dorsal:- | labial:-;coronal:+;strident:+;dorsal:- | labial:-;coronal:+;strident:-,+;dorsal:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+ | labial:-;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive	mb	nd	ŋɡ	3/3	1.0
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	mp	nt	ŋk	3/3	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		s		1/3	0.7557554648520461
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	β			1/3	0.18957576122640887
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ns	-	1/2	0.6560241941723418
	5/7	6/7	4/6
	0.8516873678922009	0.8860734576452499	0.8184151281070897
