	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;front:0;round:-,-,+ | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;front:0;round:-,-,+ | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;round:0;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,+;round:0 | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:0,-,+;round:0 | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,-,+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;front:+;round:0;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;front:+;round:0;anterior:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;round:0;anterior:-;distributed:+;high:+;low:-;back:-	labial:-,+;labiodental:-;coronal:-;strident:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;dorsal:+;front:+;round:+;anterior:-;distributed:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;dorsal:+;front:+;round:+;anterior:-;distributed:+ | labial:-,+;labiodental:-;coronal:+;strident:+;dorsal:-;front:0;round:+;anterior:-;distributed:+;high:0;low:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;dorsal:-;front:0;round:+;anterior:-;distributed:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	pʷ	p	t	kp	k	kʲ	kʷ	7/7	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	bʷ	b	d	ɡb	ɡ	ɡʲ	ɡʷ	7/7	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mbʷ	mb	nd	ŋmɡb	ŋɡ	ŋɡʲ	ŋɡʷ	7/7	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive		ɓ	ɗ	-			-	2/5	0.8105199205337438
periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive		mp	nt	ŋmkp	ŋk		ŋkʷ	5/7	0.9308269372094126
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		f	s	-				2/6	0.8492959489653563
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative		v	z	-				2/6	0.8143532262895793
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	ɱv	nz	-				2/5	0.9439279858448234
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-		ns	-	-	-	-	1/2	0.6661824181588568
	3/7	8/9	9/9	4/4	4/8	3/8	4/7
	0.7158117189790115	0.999916001362333	1.0	1.0	0.8139947351371385	0.7657106893695986	0.7296940146623353
