	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;sonorant:-;nasal:-	p	t	k	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;sonorant:-;nasal:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:+;sonorant:-;nasal:-	b̰	d̰		2/3	0.5791278278488846
	4/4	4/4	3/4
	1.0	1.0	0.9896220569333233
