	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,-,+ | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:+;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:+;round:-	labial:+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:+;front:-;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	pʷ	p	t	t̠ʃ	t̠ʃʷ	tʷ	pʲ	kpɾ	kp	kpʷ	kpʲ	k	kʲ	kʷ	14/14	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	bʷ	b	d	d̠ʒ	d̠ʒʷ	dʷ	bʲ	ɡbɾ	ɡb			ɡ		ɡʷ	11/14	0.9226292773101423
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	fʷ	f	s	ʃ	sʷ		fʲ	-	-	-	-				6/10	0.7727443311014904
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	vʷ	v	z	ʒ			vʲ	-	-	-	-				5/10	0.7340768986433062
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	ɱv	nz		-	-	ɱvʲ	-	-	-	-				3/7	0.9342284479051294
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-	ɱf	ns	n̠ʃ	-	-		-	-	-	-	-	-	-	3/4	0.9833541363501384
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mbʷ	mb	nd	n̠d̠ʒ	-	ndʷ	mbʲ	-	ŋmɡb	-	-	ŋɡ		ŋɡʷ	9/10	0.9497513422346905
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mpʷ	mp	nt	n̠t̠ʃ	-			ŋmkpɾ	ŋmkp	-	-	ŋk		ŋkʷ	8/11	0.9460410450944665
	6/6	8/8	8/8	7/8	3/4	3/6	6/8	3/3	4/4	1/2	1/2	4/7	1/7	4/7
	1.0	1.0	1.0	0.9999916625608972	0.711364417099735	0.9022023594546412	0.9991774214754097	1.0	1.0	0.5223552024932423	0.6666666666666673	0.8208175339725856	0.4669292904316795	0.7468217438153808
